Chinese,English
民族,ethnicity
总书记,chairman
人物,character
字,zi
牌,brand
代表,representative
手机,mobile
战,war
兄弟,brother
大爷,master
岛,island
岛屿,island
奶奶,grandmother
基地,headquarters
记者,reporter
纲要,outline
宪法,constitution
支派,tribe
名叫-01,name
专业,profession
酶,enzyme
组织-01,group
龙,dragon
时期,period
叔叔,uncle
书,book
机构,organization
美名,goodname
中介,middleman
教徒,student
总理,manager
兄,brother
主义,ideology
文-01,text
钢锅,steel
男子,man
主席,chairman
称-02,name
开幕式,opening
电影,
女,
女子,
讲话,
电视台,
文章,
女侠,
分支,
老师,
网名,
文,
专家,
事件,
世纪,
报道,
汽车,
战场,
祖师爷,
燃料,
浴室,
游戏,
称号,
门店,
同志,
作家,
论,
派,
先生,
危机,
主页,
厂名,
国,
包租婆,
轿车,
字样,
元素,
论坛,
会议,
方针,
总部,
宝岛,
委员,
被告人,
监测站,
汽车厂,
卫视,
基金,
运动,
功夫,
演唱-01,
高帽,
名曲,
奶粉,
家族,
帖,
集团,
标记,
美国人,
金字招牌,
步枪,
审判,
大师,
组合,
政策,
政府,
讲话-01,
指数,
设计师,
期间,
发射器,
导弹,
他,
老儿,
信仰,
地区,
合唱团,
制度,
明星,
作者,
议案,
父子,
孔雀男,
船长,
局长,
规划,
老人,
职业,
名校,
战争,
人员,
帝国,
内衣,
广告,
公司,
合唱,
飞机,
车,
阵地,
消费,
藕粉,
美称,
杂志,
网站,
家,
罪,
广场,
人,
女童,
博物馆,
大妈,
大哥,
医院,
模式,
系统,
世界银行,
联盟,
魔鬼,
网,
朋友,
选手,
人家,
国家,
皇后,
名字,
视频,
型,
政权,
路线,
小区,
基因,
超市,
书记,
小伙,
总统,
开发商,
保安,
防空,
女士,
参选人,
药,
伟人,
微博,
思想家,
演唱会,
节目,
党派,
评论,
食品,
计划,
环,
大会,
歌,
女孩,
区,
榜单,
嫌犯,
产品,
系列,
协定,
轰炸机,
新闻,
教授,
主持人,
都市报,
项目,
软件,
将军,
起点,
品牌,
战斗机
