Chinese,English
民族,ethnic-group
总书记,chairman
人物,character
字,name
牌,brand
代表,representative
手机,mobile
战,war
兄弟,brother
大爷,master
岛,island
岛屿,island
奶奶,grandmother
基地,headquarters
记者,reporter
纲要,outline
宪法,constitution
支派,tribe
名叫-01,name
专业,profession
酶,enzyme
组织-01,group
龙,dragon
时期,period
叔叔,uncle
书,book
机构,organization
美名,goodname
中介,middleman
教徒,student
总理,manager
兄,brother
主义,ideology
文-01,text
钢锅,steel
男子,man
主席,chairman
称-02,name
开幕式,opening
电影,movie
女,woman
女子,woman
讲话,speech
电视台,television
文章,essay
女侠,woman
分支,branch
老师,teacher
网名,website
文,text
专家,expert
事件,incident
世纪,century
报道,report
汽车,car
战场,war
祖师爷,homeland
燃料,fuel
浴室,bathroom
游戏,game
称号,name
门店,store
同志,comrade
作家,author
论,theory
派,party
先生,man
危机,crisis
主页,page
厂名,thing
国,country
包租婆,landlord
轿车,vehicle
字样,slogan
元素,element
论坛,forum
会议,meeting
方针,policy
总部,headquarters
宝岛,taiwan
委员,committee
被告人,defendant
监测站,monitor
汽车厂,garage
卫视,satellite
基金,capital
运动,movement
功夫,kungfu
演唱-01,song
高帽,thing
名曲,song
奶粉,milk
家族,clan
帖,poster
集团,group
标记,symbol
美国人,american
金字招牌,sign
步枪,rifle
审判,trial
大师,master
组合,organization
政策,policy
政府,government
讲话-01,speech
指数,index
设计师,designer
期间,period
发射器,radio
导弹,missile
他,other
老儿,elder
信仰,faith
地区,location
合唱团,choir
制度,system
明星,celebrity
作者,author
议案,proposal
父子,family
孔雀男,man
船长,captain
局长,chief
规划,plan
老人,elder
职业,company
名校,school
战争,war
人员,staff
帝国,empire
内衣,underwear
广告,advertisement
公司,company
合唱,choir
飞机,plane
车,car-model
阵地,location
消费,consumer
藕粉,thing
美称,nickname
杂志,magazine
网站,website
家,home
罪,crime
广场,square
人,person
女童,girl
博物馆,museum
大妈,woman
大哥,man
医院,hospital
模式,model
系统,system
世界银行,bank
联盟,alliance
魔鬼,demon
网,website
朋友,friend
选手,contestant
人家,person
国家,country
皇后,empress
名字,name
视频,show
型,style
政权,government
路线,road
小区,city-region
基因,gene
超市,supermarket
书记,secretary
小伙,boy
总统,president
开发商,developer
保安,officer
防空,military
女士,woman
参选人,candidate
药,medicine
伟人,person
微博,blog
思想家,thinker
演唱会,choir
节目,program
党派,party
评论,review
食品,food
计划,plan
环,circle
大会,convention
歌,song
女孩,girl
区,world-region
榜单,announcement
嫌犯,suspect
产品,product
系列,series
协定,agreement
轰炸机,aircraft-type
新闻,news
教授,professor
主持人,host
都市报,newspaper
项目,program
软件,software
将军,general
起点,origin
品牌,brand
战斗机,aircraft-type
